,,,,,,,,
,,,,,,,,
,Ticket,RTV Type,Supplier,RTV #,Collection Date,Collection Time,"C3
Reservation
Number",Status
,CGOPS-33797,RTV,29944 - UKArcaLivingLtd,FSW62824634,16-Jun,10:00 AM,26332601,Part Collection
,CGOPS-36332,QCFail,2852 - UKJulianBowen,N/A,14-Jun,13:00,26566612,Shipped
,CGOPS-34400,RTV,20502 - UKMHStar,FSW63014488,16-Jun,9:00,26595173,Part Collection
,CGOPS-34395,RTV,9203 - UKKims Baby Equipment - Original,"DM20220530033740

staging loc CONSOL07",14-Jun,7:00,26424903,Shipped
,CGOPS-33484,RTV,34407 - UKDorelHomeFurnishings,FSW62760225,10-Jun,6:00,26430033,Shipped
,CGOPS-29068,RTV,11629 - UKGalleryDirect,FSW61604070,16-Jun,7/8AM,26394916,Ready For Pickup
,CGOPS-33796,RTV,29944 - UKArcaLivingLtd,FSW62824613,16-Jun,10:00 AM,26332619,Part Collection
,,,29944 - UKArcaLivingLtd,FSW62824664,16-Jun,9:00,,
,,,20502 - UKMHStar,FSW63014488,16-Jun,13:00,,
,CGOPS-33482,RTV,34407 - UKDorelHomeFurnishings,FSW63802166,16-Jun,11:00,26627976,Staged
,CGOPS-33463,RTV,17870 - UKYearnGlass,FSW62755884,13-Jun,9:00,26424762,Shipped
,CGOPS-33481,RTV,34407 - UKDorelHomeFurnishings,FSW62760085,16-Jun,11:00,26287458,Part Collection
,CGOPS-33798,RTV,29944 - UKArcaLivingLtd,FSW62824664,17-Jun,13:00,26332577,Staged
,CGOPS-32606,RTV,3862 - UKBluebone,FSW62519371,17-Jun,11:00,26332494,Part Collection
,CGOPS-33799,RTV,29944 - UKArcaLivingLtd,FSW62824725,17-Jun,11:00,26332536,Imported
,CGOPS-35561,RTV,20502 - UKMHStar,FSW63389657,17-Jun,9:00,26593871,Staged
,,,20502 - UKMHStar,,17-Jun,9:00,,
,,,20502 - UKMHStar,,17-Jun,13:00,,
,CGOPS-34163,RTV,11478 - UKOneHoldingViscotherapy,FSW62960695,20-Jun,7:00,26537688,Released
,CGOPS-35991,RTV,28972 - UKHallowoodFurniture,FSW63680664,20-Jun,8:00,,
,CGOPS-35991,RTV,28972 - UKHallowoodFurniture,FSW63844557,20-Jun,8:00,,
,CGOPS-35968,QCFail,28972 - UKHallowoodFurniture,TBC,20-Jun,8:00,,
,CGOPS-35683,RTV,22793 - UKWalplusLtd,FSW63418884,21-Jun,10:00,26594564,
,CGOPS-35683,RTV,22793 - UKWalplusLtd,FSW63844264,21-Jun,10:00,26593855,
,CGOPS-35978,RTV,37802 - EUMontyTradingLtd,FSW63545127,21-Jun,12:00,,
,CGOPS-37306,RTV,37736 - EUNovaOutdoorLivingLtd,FSW63879175,21-Jun,7:00,26627240,Imported
,CGOPS-35574,RTV,20502 - UKMHStar,FSW63391177,21-Jun,10:00 AM,26539684,Imported
,CGOPS-35677,RTV,22793 - UKWalplusLtd,FSW63418662,21-Jun,10:00,26593848,
,CGOPS-33481,RTV,34407 - UKDorelHomeFurnishings,FSW63679898,22-Jun,10:00,,
,CGOPS-37308,RTV,37736 - EUNovaOutdoorLivingLtd,FSW63879545,22-Jun,9:00,,Imported
,CGOPS-35564,RTV,33480 - UKNielsenDesignLtd (UKBainbridge),FSW63389890,23-Jun,8:00,,Imported
,CGOPS-35385,RTV,29026 - UKMmilo,FSW63353164,23-Jun,7:00,26583872,Imported
,CGOPS-33481,RTV,34407 - UKDorelHomeFurnishings,FSW63802131,23-Jun,9:00,,
,CGOPS-32389,RTV,9579 - UKAnnaghmoreAgencies,FSW62482658,24-Jun,11:00,26429753,Imported
,CGOPS-37310,RTV,37736 - EUNovaOutdoorLivingLtd,FSW63879765,24-Jun,9:00,,Imported
,CGOPS-33481,RTV,34407 - UKDorelHomeFurnishings,FSW63802218,24-Jun,7:00,,
,CGOPS-26720,,20502 - UKMHStar,FSW60725198,N/A,N/A,N/A,
,CGOPS-33092,RTV,26515 - UKlassicltd,FSW62612823,TBC,10:00,Stage 173,Part Collection
,CGOPS-33611,RTV,58666 - EUFlash Furniture,FSW62788905,TBC,9:00,26287482,Part Collection
,CGOPS-33606,RTV,58666 - EUFlash Furniture,FSW62788627,TBC,10:00,26537555,Part Collection
,CGOPS-36720,RTV,37736 - EUNovaOutdoorLivingLtd,FSW63681524,,,,
,CGOPS-34863,RTV,25376 - UKSelseyLiving,FSW63090373,,,,
,CGOPS-29951,Liquidation,40139 - EUEnitialLab,TBC,,,,Shipped
,CGOPS-29942,Liquidation,37802 - EUMontyTradingLtd,TBC,,,,Shipped
,CGOPS-33627,RTV,31234 - UKTuttiBambini,TBC,,,,Tangerine Sync Fail
,CGOPS-36330,QCFail,47724 - EUHouseandHomestyle,N/A,,,,
